year_month,avg_demand_mwh,min_demand_mwh,n_hours,zone
2019-08,9372.68445763394,6172.29018,713,SCENT
2019-09,8610.718753744928,5623.119991,690,SCENT
2019-10,6664.4764813239835,4106.16948,713,SCENT
2019-11,6073.961774081159,4277.839859,690,SCENT
2019-12,6059.690375835905,4101.41027,713,SCENT
2020-01,5857.842004485274,4301.663453,713,SCENT
2020-02,6156.285093799101,4171.231503,667,SCENT
2020-03,5753.9962592851125,4010.47384,712,SCENT
2020-04,5789.959439289855,3955.451332,690,SCENT
2020-05,6838.625321945301,4043.061453,713,SCENT
2020-06,7832.746851636231,4798.211259,690,SCENT
2020-07,8872.569589713885,5748.423641,713,SCENT
2020-08,9001.104986921458,5342.347634,713,SCENT
2020-09,7251.642214414493,4331.579057,690,SCENT
2020-10,6768.041768649368,4243.064288,713,SCENT
2020-11,5856.915286786957,4367.42605,690,SCENT
2020-12,6421.898921176718,4529.411256,713,SCENT
2021-01,6514.028155304348,4478.781284,713,SCENT
2021-02,7247.516956687888,4253.155232,644,SCENT
2021-03,5738.954987744382,4407.930905,712,SCENT
2021-04,6094.659798928986,4298.957471,690,SCENT
2021-05,6788.197322892005,4442.362916,713,SCENT
2021-06,8324.717641823188,4809.476509,690,SCENT
2021-07,8365.470227370266,5754.010067,713,SCENT
2021-08,8972.103226325386,5762.930904,713,SCENT
2021-09,8295.925426811595,4747.341605,690,SCENT
2021-10,6955.888248632538,4348.410717,713,SCENT
2021-11,5947.330804553623,4556.979043,690,SCENT
2021-12,6282.572776862552,4690.464625,713,SCENT
2022-01,7081.689770816269,4976.094688,713,SCENT
2022-02,7673.327444913044,4870.161339,644,SCENT
2022-03,6438.113928827246,4743.243244,712,SCENT
2022-04,6929.755989884057,4805.866933,690,SCENT
2022-05,8521.25166333801,5055.066082,713,SCENT
2022-06,9791.048152982608,6185.775836,690,SCENT
2022-07,10392.99003637167,6955.899821,713,SCENT
2022-08,9770.27696235063,6640.499061,713,SCENT
2022-09,8778.093666539131,5508.445628,690,SCENT
2022-10,7138.03848056101,4759.216355,713,SCENT
2022-11,6998.137960192754,4992.528485,690,SCENT
2022-12,7661.457913549158,5261.917315,712,SCENT
2023-01,6970.053791176719,4941.802398,713,SCENT
2023-02,7392.332059229814,5307.884444,644,SCENT
2023-03,6906.185333580056,5114.802309,712,SCENT
2023-04,6928.213990956522,5043.800212,690,SCENT
2023-05,7994.062361424965,5336.908805,713,SCENT
2023-06,10029.17675043913,6031.876001,690,SCENT
2023-07,10848.670947854138,7294.898313,713,SCENT
2023-08,11353.54642740533,7426.376115,713,SCENT
2023-09,10112.789072402898,6344.82513,690,SCENT
2023-10,7815.949477035064,5229.712455,713,SCENT
2023-11,6827.744089266667,5350.824118,690,SCENT
2023-12,6971.89264252174,5534.007558,713,SCENT
2024-01,8441.680303990182,5701.713562,713,SCENT
2024-02,6921.371252016491,5307.868669,667,SCENT
2024-03,6833.727752431179,5384.782647,712,SCENT
2024-04,7541.859063915942,5425.514709,690,SCENT
2024-05,9026.554397748947,5887.517744,713,SCENT
2024-06,10275.014899157972,6963.343723,690,SCENT
2024-07,9881.480971458624,6942.869625,713,SCENT
2024-08,10879.888190234222,7091.855141,713,SCENT
2024-09,9417.286542847825,5727.59656,690,SCENT
2024-10,8424.595116765779,5494.68836,713,SCENT
2024-11,7114.444194913044,5305.466005,690,SCENT
2024-12,7024.520648213183,5416.107007,713,SCENT
2025-01,8655.033255190743,5607.7947,713,SCENT
2025-02,8195.628577729814,5632.392722,644,SCENT
2025-03,7180.631761814606,5409.306689,712,SCENT
2025-04,8017.262668763768,5613.032946,690,SCENT
2025-05,9098.354910978962,5454.431866,713,SCENT
2025-06,10251.932735926088,6658.956317,690,SCENT
2025-07,10148.176754807853,7086.40965,713,SCENT
2025-08,11035.954491403927,7499.93269,713,SCENT
2025-09,9984.147702586955,6426.756489,690,SCENT
2025-10,8928.697900754558,5882.237452,713,SCENT
2025-11,7427.91155275942,5640.792194,690,SCENT
2025-12,7719.277802039271,5903.029709,713,SCENT
2019-01,3093.9065278695653,2223.86523,713,SOUTH
2019-02,2993.9363893618015,2201.884777,644,SOUTH
2019-03,3090.0301506755623,2151.036306,712,SOUTH
2019-04,3184.7580584652173,2127.374424,690,SOUTH
2019-05,3726.1224956409537,2247.382681,713,SOUTH
2019-06,4234.24342552029,2859.898874,690,SOUTH
2019-07,4383.4591945918655,2820.957304,713,SOUTH
2019-08,4687.365343030856,3246.257396,713,SOUTH
2019-09,4213.714677992753,2931.623527,690,SOUTH
2019-10,3602.6489248541375,2251.553584,713,SOUTH
2019-11,3099.1697119347828,2240.762124,690,SOUTH
2019-12,3035.4101161262274,2175.582337,713,SOUTH
2020-01,2935.590158044881,2245.55801,713,SOUTH
2020-02,3046.751578683658,2166.452878,667,SOUTH
2020-03,3161.4520576713485,2240.695944,712,SOUTH
2020-04,3283.4615362144928,2178.463977,690,SOUTH
2020-05,3741.733312371669,2330.058704,713,SOUTH
2020-06,3993.4020978550725,2524.94466,690,SOUTH
2020-07,4331.00033226648,2493.111866,713,SOUTH
2020-08,4377.005348545582,2822.395645,713,SOUTH
2020-09,3775.9760253289855,2268.649455,690,SOUTH
2020-10,3573.483540436185,2228.497663,713,SOUTH
2020-11,3106.2063934826087,2173.680573,690,SOUTH
2020-12,3025.298254441795,2228.099825,713,SOUTH
2021-01,3110.3107903436185,2229.353425,713,SOUTH
2021-02,3324.1648731614905,1958.87619,644,SOUTH
2021-03,2946.084180745787,2099.267233,712,SOUTH
2021-04,3443.781412068116,2188.581712,690,SOUTH
2021-05,3766.139130298738,2286.330926,713,SOUTH
